Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Biomass, Litter, and Soil Carbon Stock of a Tropical Forest of Eastern India","Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",,,,10.1007/s40011-025-01696-7,Chittaranjan DasNaba Kumar Mondal,2025,https://link.springer.com/article/10.1007/s40011-025-01696-7,Article
Spatiotemporal evolution and influencing factors of carbon stock in the water receiving areas from the perspective of carbon neutrality,Scientific Reports,,,,10.1038/s41598-025-96033-3,Zhuoyue PengMengting LiYaming LiuJunxian YinHongyuan FangJiawei Wen,2025,https://link.springer.com/article/10.1038/s41598-025-96033-3,Article
Ecosystem Carbon Stock in Iron-Metamorphic Soils with Different Types of Land Use in South Karelia,Eurasian Soil Science,,,,10.1134/S1064229324601550,I. A. DubrovinaE. V. MoshkinaA. V. TuyunenN. V. GenikovaA. Yu. KarpechkoM. V. Medvedeva,2024,https://link.springer.com/article/10.1134/S1064229324601550,Article
"Spatiotemporal variation and dynamic simulation of carbon stock based on PLUS and InVEST models in the Li River Basin, China",Scientific Reports,,,,10.1038/s41598-025-86226-1,Yu BaiXiangling TangFeng XueDujiang LongJianhong LiYaoguo Tang,2025,https://link.springer.com/article/10.1038/s41598-025-86226-1,Article
Structural diversity and carbon stock of forest stands: tradeoff as modified by silvicultural thinning,European Journal of Forest Research,,,,10.1007/s10342-024-01691-z,Hans PretzschTorben Hilmers,2024,https://link.springer.com/article/10.1007/s10342-024-01691-z,Article
Fire frequencies negatively impact soil organic carbon stock in tropical moist deciduous forest communities of Central India,Discover Soil,,,,10.1007/s44378-025-00080-1,Pranab Kumar PatiPriya KaushikDinesh MalasiyaMohammed Latif KhanPramod Kumar Khare,2025,https://link.springer.com/article/10.1007/s44378-025-00080-1,Article
Reduction of deforestation by agroforestry in high carbon stock forests of Southeast Asia,Nature Sustainability,,,,10.1038/s41893-025-01532-w,Hoong Chen TeoAakash LambaSean J. W. NgAnh Tuan NguyenAdrian DwiputraAnnabel Jia Yi LimMinh Nhat NguyenPantana Tor-ngernYiwen ZengSonya DewiLian Pin Koh,2025,https://link.springer.com/article/10.1038/s41893-025-01532-w,Article
<i>Zostera capensis</i> Sedimentary Carbon Stock Variability: An Intra-estuarine Site Comparison,Estuaries and Coasts,,,,10.1007/s12237-024-01452-6,Aidan BossertSophie von der HeydenAndrew Ndhlovu,2024,https://link.springer.com/article/10.1007/s12237-024-01452-6,Article
"Biomass carbon stock and sequestration potential of tree-based agroecosystem in Tripura, Northeast India",Agroforestry Systems,,,,10.1007/s10457-025-01168-x,Dipankar DebSourabh Deb,2025,https://link.springer.com/article/10.1007/s10457-025-01168-x,Article
Ecosystem carbon stock variation along forest stand ages: insight from eastern coast mangrove ecosystem of India,Ecological Processes,,,,10.1186/s13717-025-00580-6,Muktipada PandaBikash R. DashSudam C. Sahu,2025,https://link.springer.com/article/10.1186/s13717-025-00580-6,Article
Mechanisms for carbon stock driving and scenario modeling in typical mountainous watersheds of northeastern China,Environmental Monitoring and Assessment,,,,10.1007/s10661-024-12947-x,Jin ZhangWen-Guang ZhangXin-Yan ZhangYu-Hong LiMing-Ming FengPeng QiYi-Qiang HuangRui LiMing JiangYuan-Chun ZouYi Wu,2024,https://link.springer.com/article/10.1007/s10661-024-12947-x,Article
"Spillover effects of carbon, energy, and stock markets considering economic policy uncertainty",Journal of Economics and Finance,,,,10.1007/s12197-024-09665-y,Yanping LiuBo Yan,2024,https://link.springer.com/article/10.1007/s12197-024-09665-y,Article
Possible of soil organic carbon and carbon stock in orchard for climate mitigation,International Journal of Environmental Science and Technology,,,,10.1007/s13762-025-06390-9,Y. BoonglaW. OutongN. MadbinheadP. KhuninR. Boonnak,2025,https://link.springer.com/article/10.1007/s13762-025-06390-9,Article
Factors contributing to China’s carbon stock change in the harvested wood products trade,European Journal of Wood and Wood Products,,,,10.1007/s00107-023-02009-3,Zhijie GuanYaxin ZhangZhiyuan GuoYue Zhang,2023,https://link.springer.com/article/10.1007/s00107-023-02009-3,Article
Litter Dynamics and Soil Carbon Stock in a Coffee Agroforestry System in Costa Rica,Journal of Soil Science and Plant Nutrition,,,,10.1007/s42729-025-02410-2,M. Monge-MuñozG. Soto-MuñozJ. Chin-PampilloA.M. Durán-QuesadaM.V. Gutiérrez-SotoM. Orozco-AcevesC. Chinchilla-Soto,2025,https://link.springer.com/article/10.1007/s42729-025-02410-2,Article
"Media Attention for Carbon Neutrality, Investor Sentiment, and Excess Stock Returns: Evidence from Mass Media and Social Media",Computational Economics,,,,10.1007/s10614-024-10739-6,Gaoshan WangYue WangYilin DongXiaohong Shen,2024,https://link.springer.com/article/10.1007/s10614-024-10739-6,Article
"Tree diversity, population structure, biomass accumulation, and carbon stock dynamics in tropical dry deciduous forests of Eastern India",BMC Ecology and Evolution,,,,10.1186/s12862-025-02385-9,Abinash MansinghAntaryami PradhanSatya Ranjan SahooSujeet Sameer CherwaBibhu Prasad MishraLaxmi Prasad RathNirius Jenan EkkaBibhu Prasad Panda,2025,https://link.springer.com/article/10.1186/s12862-025-02385-9,Article
Strategic mangrove restoration increases carbon stock capacity,Communications Earth & Environment,,,,10.1038/s43247-025-02401-2,Sebrian M. BesellyMick van Der WegenJohan ReynsUwe GruetersJasper T. DijkstraDano Roelvink,2025,https://link.springer.com/article/10.1038/s43247-025-02401-2,Article
Soil organic carbon stock change following perennialization: a meta-analysis,Agronomy for Sustainable Development,,,,10.1007/s13593-023-00912-w,Imran Ahammad SiddiqueDiego GradosJi ChenPoul Erik LærkeUffe Jørgensen,2023,https://link.springer.com/article/10.1007/s13593-023-00912-w,Article
Multi-scenario simulation of carbon stock and landscape ecological risk changes in Jinpu new area and analysis of spatial conflict relationships,Scientific Reports,,,,10.1038/s41598-025-03148-8,Jin Peng WangLi WangPeng Du,2025,https://link.springer.com/article/10.1038/s41598-025-03148-8,Article
Biochar promoted halophyte growth and enhanced soil carbon stock in a coastal salt-affected soil,Journal of Soils and Sediments,,,,10.1007/s11368-024-03774-1,Tong LiuXuejia ZhangXinliang DongKai GuoBhupinder Pal SinghJintao WangXiaojing LiuHongyong Sun,2024,https://link.springer.com/article/10.1007/s11368-024-03774-1,Article
Comparative analysis of carbon stock and litter nutrient concentration in tropical forests along the ecological gradient in Kenya,Journal of Forestry Research,,,,10.1007/s11676-025-01824-z,Timothy NamaswaBrexidis MandilaJoseph HitimanaJudith Kananu,2025,https://link.springer.com/article/10.1007/s11676-025-01824-z,Article
"Effect of Environmental Gradient on Organic Carbon Stock of Wacho Forest Soil, South Western Ethiopia","Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",,,,10.1007/s40010-023-00859-3,Gezahegn GashuHalid Awoke,2023,https://link.springer.com/article/10.1007/s40010-023-00859-3,Article
Carbon stock estimation in a Brazilian mangrove using optical satellite data,Environmental Monitoring and Assessment,,,,10.1007/s10661-023-12151-3,Manoel Mariano NetoJanaína Barbosa da SilvaHigor Costa de Brito,2023,https://link.springer.com/article/10.1007/s10661-023-12151-3,Article
The Sediment Carbon Stock in Aquatic Ecosystems: Mitigating Climate Change,Proceedings of The 2nd International Conference on Climate Change and Ocean Renewable Energy,,,,10.1007/978-3-031-71555-6_20,Tri Retnaningsih SoeprobowatiYogiswara DanurrachmanAulia RahimReni Nastuti,2024,https://link.springer.com/chapter/10.1007/978-3-031-71555-6_20,Conference paper
Soil organic carbon stock and litter mass in silvopastoral systems with <i>Eucalyptus</i>,Agroforestry Systems,,,,10.1007/s10457-024-00960-5,Alan Figueiredo de OliveiraClaudinei Alves dos SantosLúcio Carlos GonçalvesMaria Celuta Machado VianaMiguel Marques Gontijo NetoEdilane Aparecida da SilvaÂngela Maria Quintão Lana,2024,https://link.springer.com/article/10.1007/s10457-024-00960-5,Article
"Spatial quantification of biomass and carbon stock for different land use systems of Kallakurichi and Villupuram districts of Tamil Nadu, India",Environmental Earth Sciences,,,,10.1007/s12665-025-12302-4,Kumaraperumal RamalingamPreethi SekarNivas Raj Moorthi,2025,https://link.springer.com/article/10.1007/s12665-025-12302-4,Article
Mapping forest aboveground carbon stock of combined stratified sampling and RFRK model with mean annual temperature and precipitation,Scientific Reports,,,,10.1038/s41598-025-02338-8,Min PengMingrui XuJialong ZhangBo QiuChenkai TengChaoqing Chen,2025,https://link.springer.com/article/10.1038/s41598-025-02338-8,Article
Sedimentary seagrass carbon stock and sources of organic carbon across contrasting seagrass meadows in Indonesia,Environmental Science and Pollution Research,,,,10.1007/s11356-023-29257-3," Yusmiana P. RahayuMariska A. KusumaningtyasAugust DaulatAgustin RustamDevi D. SuryonoHadiwijaya L. SalimRestu N. A. AtiNasir SudirmanTerry L. KepelAndreas A. HutahaeanNovi S. Adi",2023,https://link.springer.com/article/10.1007/s11356-023-29257-3,Article
"Biomass and Carbon Stock in a Tropical Semi Evergreen Forest at the foothills of Eastern Himalayas, India","Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",,,,10.1007/s40011-024-01608-1,J. Y. YumnamH. Deori,2024,https://link.springer.com/article/10.1007/s40011-024-01608-1,Article
Effect of Land use and Land Cover Change on Soil Erosion and Soil Organic Carbon Stock in Southeastern Tunisia,Earth Systems and Environment,,,,10.1007/s41748-025-00581-7,Hayet MnasriBilel AbdelkarimAdélia NunesSanju PurohitHouda SahnounSalah Mahmoudi,2025,https://link.springer.com/article/10.1007/s41748-025-00581-7,Article
Determining Optimal SAR Parameters for Quantifying Above-Ground Grass Carbon Stock in Savannah Ecosystems Using a Tree-Based Algorithm,Remote Sensing in Earth Systems Sciences,,,,10.1007/s41976-024-00170-8,Reneilwe MaakeOnisimo MutangaJohannes George ChirimaMahlatse Kganyago,2024,https://link.springer.com/article/10.1007/s41976-024-00170-8,Article
Dynamic information spillover between Chinese carbon and stock markets under extreme weather shocks,Humanities and Social Sciences Communications,,,,10.1057/s41599-023-02134-7,Zhang-Hangjian ChenXiang GaoApicha Insuwan,2023,https://link.springer.com/article/10.1057/s41599-023-02134-7,Article
"Plant diversity, population structures and carbon stock of mangrove ecosystems of Ramsar Site 1017 in Benin",Wetlands Ecology and Management,,,,10.1007/s11273-025-10040-9,Elie A. PadonouCarolle M. A. Avocèvou-AyissoClement SewadeGrâce M. HovozounkouBokon A. AkakpoBrice Sinsin,2025,https://link.springer.com/article/10.1007/s11273-025-10040-9,Article
Spatial distribution of vegetation carbon stock among different organs over the Tibetan Plateau: on an intensive field survey,Journal of Forestry Research,,,,10.1007/s11676-024-01793-9,Weixiang CaiNianpeng HeLi Xu,2024,https://link.springer.com/article/10.1007/s11676-024-01793-9,Article
Net global warming potential index rather than soil carbon stock change could provide better understanding of the carbon balance in soil systems,Environmental Science and Pollution Research,,,,10.1007/s11356-023-31602-5,Sung Un KimHae Ri HanHyun Ho LeeJu-mi LimSeong-Jin ParkSangho JeonNamgoo KangWon-Pyo ParkChang Oh Hong,2023,https://link.springer.com/article/10.1007/s11356-023-31602-5,Article
"Estimation of Organic Carbon Stock Under Soil Depth and Land Use Types of Wacho Forest, Southwest Ethiopia: An Implication for Climate Change Mitigation","Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",,,,10.1007/s40011-024-01617-0,Gezahegn GashuGebre GideyZame FakansaSime Deressa,2024,https://link.springer.com/article/10.1007/s40011-024-01617-0,Article
"Variation of shade tree composition and carbon stock of smallholder coffee agroforestry systems along an elevation gradient in Khun Mae Kuang Forest area, northern Thailand",Agroforestry Systems,,,,10.1007/s10457-024-01073-9,Lamthai AsanokKunthaphong KrueamaJiraphorn PakketanangPrakrong Chiangrang,2024,https://link.springer.com/article/10.1007/s10457-024-01073-9,Article
Spatiotemporal trends of carbon stock in wood and bamboo products in China during 1987–2020,Scientific Reports,,,,10.1038/s41598-023-41007-6,Luyang ZhangShuaikun ZhangDongdong ChenTianrun LiShiyi WangZhiyuan XuYuchao WangZhihua LiuShaoliang Zhang,2023,https://link.springer.com/article/10.1038/s41598-023-41007-6,Article
"Carbon stock in biomass pool of fragmented mangrove habitats of Kochi, Southern India",Environmental Science and Pollution Research,,,,10.1007/s11356-023-29069-5,Varghese RaniSivasankaran Bijoy NandanParavanparambil Rajakumar JayachandranChakkalakkal Mani PreethySuseela SreelekshmiPhilomina JosephChalil Veedu Asha,2023,https://link.springer.com/article/10.1007/s11356-023-29069-5,Article
Stand structure and Brazilian pine as key determinants of carbon stock in a subtropical Atlantic forest,Carbon Balance and Management,,,,10.1186/s13021-024-00284-y,Vinicius Costa CysneirosAllan Libanio PelissariAfonso Figueiredo Filho,2024,https://link.springer.com/article/10.1186/s13021-024-00284-y,Article
"Driving model of land use change on the evolution of carbon stock: a case study of Chongqing, China",Environmental Science and Pollution Research,,,,10.1007/s11356-023-31335-5,Luoshan ZhengYangbing LiYan ChenRong WangShijie YanChunhua XiaBing ZhangJing’an Shao,2023,https://link.springer.com/article/10.1007/s11356-023-31335-5,Article
"Inventory Decisions with Carbon Emissions, Partial Backlogging and Price-Stock-Dependent Demand",Sustainable Inventory Management,,,,10.1007/978-981-97-6765-6_13,Nita H. ShahEkta PatelKavita Rabari,2025,https://link.springer.com/chapter/10.1007/978-981-97-6765-6_13,Chapter
Biomass and carbon stock assessment in the savannah of Laf locality (Far Nord Region of Cameroon),Arabian Journal of Geosciences,,,,10.1007/s12517-023-11819-x,Kapi DoudouChimène Abib FantaToua VroumsiaAdamou Ibrahima,2023,https://link.springer.com/article/10.1007/s12517-023-11819-x,Article
Predictions of Carbon Stock in Forests of the Southern Moscow Region under Different Scenarios of Forest Use,Contemporary Problems of Ecology,,,,10.1134/S1995425524700823,V. N. ShaninI. V. PriputinaP. V. FrolovD. N. TebenkovaS. S. BykhovetsS. I. Chumachenko,2024,https://link.springer.com/article/10.1134/S1995425524700823,Article
"Estimation of Soil Organic Carbon Stock at Marine Science Techno Park, Jepara, Central Java",Proceedings of The 3rd International Conference on Climate Change and Ocean Renewable Energy,,,,10.1007/978-3-031-93887-0_18,Dihaven Abdullah Muchsinin AmranJumari JumariSri Widodo Agung SuedyDeny Nugroho SugiantoTri Retnaningsih SoeprobowatiAulia Rahim,2025,https://link.springer.com/chapter/10.1007/978-3-031-93887-0_18,Conference paper
Patterns and drivers of the above- and below-ground carbon stock in Afromontane forest of southern Ethiopia: implications for climate change mitigation,Tropical Ecology,,,,10.1007/s42965-024-00334-z,Shemsu AhmedDebissa Lemessa,2024,https://link.springer.com/article/10.1007/s42965-024-00334-z,Article
Empirical analysis of the relationship between carbon trading price and stock price of high carbon emitting firms based on VAR model — evidence from Chinese listed companies,Environmental Science and Pollution Research,,,,10.1007/s11356-023-30906-w,Yukun SongYang Liu,2023,https://link.springer.com/article/10.1007/s11356-023-30906-w,Article
Characterization of spatial and temporal evolution of carbon stock and multi-scenario prediction of Haba Lake Protected Area in Ningxia based on PLUS-InVEST model,Environmental Science and Pollution Research,,,,10.1007/s11356-025-36275-w,Qikang GengSen HouDian YuZhen Bian,2025,https://link.springer.com/article/10.1007/s11356-025-36275-w,Article
Above and belowground carbon stock of pine plantations and native oak forests coexisting in central Spain,New Forests,,,,10.1007/s11056-023-10011-z,Bram van den BorPilar Castro-DíezÁlvaro Alonso,2023,https://link.springer.com/article/10.1007/s11056-023-10011-z,Article
"Nexus between carbon stock, biomass, and CO<sub>2</sub> emission of woody species composition: evidence from Ise-Ekiti Forest Reserve, Southwestern Nigeria",Carbon Research,,,,10.1007/s44246-024-00115-2,Adebowale D. DadaOlaniran J. MatthewAnthony I. Odiwe,2024,https://link.springer.com/article/10.1007/s44246-024-00115-2,Article
"Assessing the impacts of forest cover change on carbon stock and soil moisture dynamics using geospatial techniques: a case study of Nensebo forest, Southern Ethiopia",Environmental Monitoring and Assessment,,,,10.1007/s10661-024-13611-0,Zenebe Reta RobaMitiku Badasa MoisaSanju PurohitKiros Tsegay DeribewDessalegn Obsi Gemeda,2025,https://link.springer.com/article/10.1007/s10661-024-13611-0,Article
Structural stability and organic carbon stock of soils under three land use systems from semi-arid area of northern Ethiopia,International Journal of Environmental Science and Technology,,,,10.1007/s13762-024-05684-8,A. KahsayM. HaileG. GebresamuelM. Mohammed,2024,https://link.springer.com/article/10.1007/s13762-024-05684-8,Article
Soil carbon stock potential in pastoral and silvopastoral systems in the Peruvian Amazon,Agroforestry Systems,,,,10.1007/s10457-024-00969-w,Rosario SalazarJulio AlegreDante PizarroAlison J. DuffCarlos GarcíaCarlos Gómez,2024,https://link.springer.com/article/10.1007/s10457-024-00969-w,Article
"Biomass, carbon stock, CO<sub>2</sub> mitigation and carbon credits of coffee-based multitier cropping model in Central India",Environmental Monitoring and Assessment,,,,10.1007/s10661-023-11892-5,Krishan Pal SinghBeena SinghSanjay Kumar PatilChhatra Pal RahangdaleArnab BanerjeeRajshree ShuklaKhemraj SahuManoj Kumar Jhariya,2023,https://link.springer.com/article/10.1007/s10661-023-11892-5,Article
Role of the government towards stock markets and carbon emissions: evidence from wavelet approach,Environmental Science and Pollution Research,,,,10.1007/s11356-024-31843-y,Muhammad WarisBadariah Haji Din,2024,https://link.springer.com/article/10.1007/s11356-024-31843-y,Article
Analysis of land cover change on soil organic carbon stock for detecting environmental degradation in Nigeria landscape,Arabian Journal of Geosciences,,,,10.1007/s12517-025-12254-w,Anthony ToboreUgonna NkwunonwoGaniyu OyerindeBabatunde FagbohunOlayinka OlaeweEmmanuel AnokeFaith Oyedokun,2025,https://link.springer.com/article/10.1007/s12517-025-12254-w,Article
The impact of land cover change on the carbon stock of moist afromontane forests in the Majang Forest Biosphere Reserve,Carbon Balance and Management,,,,10.1186/s13021-023-00243-z,Semegnew TadeseTeshome SoromessaAbreham Berta AneseyeGetaneh GebeyehuTomasz NoszczykMengistie Kindu,2023,https://link.springer.com/article/10.1186/s13021-023-00243-z,Article
Equivalent impacts of logging and beaver activities on aboveground carbon stock loss in the southernmost forest on Earth,Scientific Reports,,,,10.1038/s41598-023-45657-4,Alejandro MirandaJorge Hoyos-SantillanAntonio LaraRayén MentlerAlejandro Huertas-HerreraMónica D. R. Toro-ManríquezArmando Sepulveda-Jauregui,2023,https://link.springer.com/article/10.1038/s41598-023-45657-4,Article
Assessment of Carbon Stock and CO<sub>2</sub> Production Potential for Soils of Coniferous-Broadleaved Forests,Eurasian Soil Science,,,,10.1134/S1064229323601166,I. M. RyzhovaM. A. PodvezennayaV. M. TelesninaL. G. BogatyrevO. V. Semenyuk,2023,https://link.springer.com/article/10.1134/S1064229323601166,Article
"Study on tree diversity, community utilization categories and soil carbon stock in alder-based jhum farming and community forest of Khonoma Village, Nagaland",Vegetos,,,,10.1007/s42535-025-01355-2,Meribeni TsopoeKambam Boxen MeeteiRupjyoti C. BaruahSidhartha Sankar KalitaKrishna Giri,2025,https://link.springer.com/article/10.1007/s42535-025-01355-2,Article
Impact of lightweight materials substitution on material stock and carbon emission of private vehicles in China,"Environment, Development and Sustainability",,,,10.1007/s10668-024-04762-8,Yanhui LiuYang LiLu Miao,2024,https://link.springer.com/article/10.1007/s10668-024-04762-8,Article
"Ecosystem carbon stock and socio-ecological determinants in selected agroforestry practices at the eastern escarpment of Chercher Massive, Ethiopia",Agroforestry Systems,,,,10.1007/s10457-024-00990-z,Muktar ReshadZebene AsfawMuktar Mohammed,2024,https://link.springer.com/article/10.1007/s10457-024-00990-z,Article
Analysis of the driving role and impact of road construction on carbon stock,Environmental Science and Pollution Research,,,,10.1007/s11356-023-27198-5,Xingli JiaJiyuan ZhuYongyi LiWenbin WuXiangyun Hu,2023,https://link.springer.com/article/10.1007/s11356-023-27198-5,Article
Long-Term Grazing Exclusion Increases Ecosystem Carbon Stock but Decreases Nitrogen Stock in the Karst Alpine Grassland of China,Journal of Soil Science and Plant Nutrition,,,,10.1007/s42729-023-01292-6,Shimei YangTao ZhangTengbing HeXiaoye GaoYan HeTianyu Long,2023,https://link.springer.com/article/10.1007/s42729-023-01292-6,Article
Plant diversity and microbial interaction on soil carbon stock in the tropical homegardens: a nature-based solution to climate change,Agroforestry Systems,,,,10.1007/s10457-025-01135-6,Athulya TomV. Divya VijayanT. K. KunhamuS. SandeepK. Surendra GopalV. JamaludheenB. R. Vishnu,2025,https://link.springer.com/article/10.1007/s10457-025-01135-6,Article
Balance Approach for Evaluating the Carbon Stock and the Components of Carbon Footprint on Croplands in Russian Regions,Russian Meteorology and Hydrology,,,,10.3103/S1068373923100011,A. S. StrokovA. A. RomanovskayaV. Yu. VertyankinaI. Yu. Ryabov,2023,https://link.springer.com/article/10.3103/S1068373923100011,Article
Allometric model based estimation of biomass and carbon stock for individual and overlapping trees using terrestrial LiDAR,Modeling Earth Systems and Environment,,,,10.1007/s40808-023-01864-6,Sangeetha GaikadiVasantha Kumar Selvaraj,2023,https://link.springer.com/article/10.1007/s40808-023-01864-6,Article
The market for carbon offsets: insights from US stock exchanges,Review of World Economics,,,,10.1007/s10290-024-00535-7,Stephen F. DiamondJennifer W. Kuan,2024,https://link.springer.com/article/10.1007/s10290-024-00535-7,Article
Soil organic carbon stock retrieval from Sentinel-2A using a hybrid approach,Environmental Monitoring and Assessment,,,,10.1007/s10661-023-12172-y,Azamat SuleymanovEvgeny AbakumovTimur NizamutdinovVyacheslav PolyakovEvgeny ShevchenkoMaria Makarova,2023,https://link.springer.com/article/10.1007/s10661-023-12172-y,Article
